Minisector,RIC,BOT,Fastest
0,249.41195591594584,249.6927316597456,BOT
1,285.57604533494793,283.51902172753626,RIC
2,184.89130042351354,183.88194039814937,RIC
3,151.0772029810406,150.06069202859751,RIC
4,258.99216983951146,257.29382716049383,RIC
5,265.18197207574985,265.88056209308957,BOT
6,222.39541463175826,213.28181818181818,RIC
7,193.0027705330648,192.65549520288877,RIC
8,147.68432977225672,152.4075113327425,BOT
9,209.24063480424144,206.2046875,RIC
10,267.4795264802947,269.4216083739679,BOT
11,122.32796762255921,124.28438506685677,BOT
12,208.12274279589758,203.49885580653452,RIC
13,271.57578000045237,270.12586809052095,RIC
14,290.23758418416486,292.3539370222433,BOT
15,298.223883321297,302.26213769275364,BOT
16,256.2027760197531,256.3684437479362,BOT
17,131.80978847031682,131.4662005240504,RIC
18,124.6517534079332,126.07580157636448,BOT
19,114.48625143506273,116.56076389756498,BOT
20,225.08066575362142,223.51284497575674,RIC
21,247.40971540680272,246.66125644887086,RIC
22,233.5585773435416,235.15601237877073,BOT
23,220.11210298412698,214.800635147046,RIC
24,134.66205008842908,137.98659033172368,BOT
25,216.0750016,217.55,BOT
