Minisector,ALO,HUL,Fastest
0,273.1720196176532,273.87212813383303,HUL
1,233.65776018919178,225.82162110111838,ALO
2,119.85505748460132,114.47120554132967,ALO
3,190.7453597838497,188.41419019540933,ALO
4,185.2807028687442,177.17815528088366,ALO
5,216.03143283977792,218.5755453855845,HUL
6,271.4082646437665,272.8006707815497,HUL
7,286.78609023580026,289.6238412539931,HUL
8,189.4810245950227,175.53184882003205,ALO
9,135.1773368077034,129.77922728305055,ALO
10,138.52384680235707,134.8465312495744,ALO
11,190.68766228916616,188.61447066448036,ALO
12,232.0152379230768,215.71998070677574,ALO
13,138.4363656247907,132.11905641550356,ALO
14,163.47306792493723,150.69195345651144,ALO
15,122.58762241898927,122.88422961085733,HUL
16,250.48835715258022,253.17375771067245,HUL
17,149.5079763192505,138.73171859678163,ALO
18,195.41350143459172,201.4932971738665,HUL
19,142.72591313721566,131.7319746232658,ALO
20,151.8842945269321,147.20861295295776,ALO
21,129.48185085519475,127.30705435350347,ALO
22,144.8674131284707,144.00299212647218,ALO
23,223.94409284038602,214.79947989355006,ALO
24,236.49171718508626,229.77884784268394,ALO
