Minisector,PIA,ALB,Fastest
0,324.5711478774532,321.6347626181901,PIA
1,335.35640428072816,331.50020820444445,PIA
2,335.7236457617778,334.8788888335802,PIA
3,196.61253144724046,189.60595328189459,PIA
4,140.18553836655272,121.65487598558948,PIA
5,267.9003567289559,263.14706336620714,PIA
6,302.9843779924007,299.25399058770563,PIA
7,315.96630691723965,314.86378398836365,PIA
8,263.48992102352094,280.8659176299724,ALB
9,144.5871651207869,140.59808595310741,PIA
10,224.89002219577964,222.17690179810108,PIA
11,234.6798029399756,218.45055083008347,PIA
12,208.54984814861496,195.64289832953213,PIA
13,272.28121416932277,266.58658086969507,PIA
14,309.01127801139904,302.63406051845806,PIA
15,321.03818993246756,321.7720846641374,ALB
16,274.38449429223107,270.58355804327294,PIA
17,221.59260225837684,208.73764935417304,PIA
18,282.912743236223,278.6309577892063,PIA
19,312.6957709157287,308.6946640389957,PIA
20,325.21008204035275,324.2389809900142,PIA
21,300.716084924041,299.7499958345578,PIA
22,214.44373477136713,199.24099511163902,PIA
23,269.7366264180316,264.4041523523048,PIA
24,305.0069215588007,302.80191102195084,PIA
25,318.6625008,311.49000064,PIA
