Minisector,LEC,MAG,Fastest
0,311.8859382341931,309.8539604730718,LEC
1,240.28609259371024,236.42812732350885,LEC
2,133.50974953908616,137.11643635474715,MAG
3,225.38441222707985,222.28342783905782,LEC
4,267.79103108331174,265.02474284650594,LEC
5,291.65904592806777,289.9477764838692,LEC
6,306.2221090337144,305.1804931604635,LEC
7,290.00179976162383,300.24762820754205,MAG
8,173.39669719187702,177.15267959088504,MAG
9,240.6365614927671,238.53545313688437,LEC
10,276.1907465753406,272.8653445881503,LEC
11,260.8148082106996,271.2309632266554,MAG
12,202.43673452449033,203.88523355048756,MAG
13,130.57750192680112,130.56101889796986,LEC
14,127.26257474296082,125.65719342164728,LEC
15,167.38334648246655,166.06724304007017,LEC
16,124.67018828933045,125.06770556622608,MAG
17,232.0606646764032,232.69650437424752,MAG
18,195.27424237540126,190.76931175411767,LEC
19,164.0464734686806,161.9722446330259,LEC
20,251.88575590702854,249.671454321513,LEC
21,281.0984176440257,278.12773456142764,LEC
22,295.94810497560746,297.6630357669687,MAG
23,305.7714446318447,316.4632726314017,MAG
24,309.5062497544626,327.0854166095238,MAG
25,310.67083413333336,329.4351463269901,MAG
