Minisector,BOT,GAS,Fastest
0,291.80781313333335,281.5261190722689,BOT
1,131.38741780194042,122.373888161434,BOT
2,169.23645725714286,159.74529465477474,BOT
3,224.46043702032722,208.11331198429508,BOT
4,173.83594391247217,158.3859216190444,BOT
5,248.2356474074074,240.8568425237423,BOT
6,209.90156364444445,210.62973410909092,GAS
7,147.6128606710106,134.70764560217486,BOT
8,242.2009915767196,230.74312565333335,BOT
9,279.60212787856415,274.2373404116364,BOT
10,291.3754764088889,284.64926437647057,BOT
11,155.9709458790539,144.55513297839016,BOT
12,226.35702006971707,214.3083881004329,BOT
13,272.83009214814814,269.0646500910053,BOT
14,280.57195038285715,265.5292893490196,BOT
15,107.48994881269842,98.66388999663333,BOT
16,221.0779806273685,219.78541760725625,BOT
17,268.8629623703703,269.6346725175271,GAS
18,290.41838836265435,290.03286539039067,BOT
19,300.1167145397361,299.9408334222222,BOT
20,305.4899998577778,304.32055566222226,BOT
21,298.0418231239695,283.07715275879633,BOT
22,164.0843325514371,154.99495920505058,BOT
23,233.09763419316323,235.60312624,GAS
24,276.6917798652159,275.17156912941175,BOT
