Minisector,HAM,NOR,Fastest
0,260.9012340363235,257.0127455517661,HAM
1,216.98621655341526,198.6750825713069,HAM
2,230.5180554451839,222.1297981537263,HAM
3,266.51239661504707,261.7607975203701,HAM
4,277.5243121978721,272.58480082139056,HAM
5,222.8044425665816,212.92360982344516,HAM
6,98.83723614388829,90.66037790884096,HAM
7,194.22248771330516,196.6293634930011,NOR
8,271.2752397593599,272.9269498680154,NOR
9,291.52447504125183,294.9742034444922,NOR
10,298.3237272727058,303.90995923607323,NOR
11,300.4220914865409,302.3847204977778,NOR
12,116.77716310427466,107.82129855856739,HAM
13,217.77767878287693,222.24567210957682,NOR
14,276.9631682120168,280.6431662402872,NOR
15,294.3930464823482,299.16308281278424,NOR
16,233.06964605493397,216.41235651046128,HAM
17,129.93803790515793,120.83555387596357,HAM
18,156.9843343022929,150.89593870341346,HAM
19,255.63822149182445,251.41217659438226,HAM
20,169.48693139902568,145.56278737134647,HAM
21,132.62741496181397,127.14675486243057,HAM
22,208.9238695168486,207.37998092861702,HAM
23,215.65532909341914,195.72087919188647,HAM
24,170.15448270202606,162.05244818510425,HAM
