Minisector,HAM,GAS,Fastest
0,273.79089511073386,276.44408441954937,GAS
1,289.60054292268376,293.2769731372482,GAS
2,224.0494097715,224.25442922707268,GAS
3,133.57981578533315,129.00376062238462,HAM
4,186.4806673202878,182.4633997833267,HAM
5,125.86287764483005,122.98991706588076,HAM
6,212.50847029333332,210.35447643743845,HAM
7,265.89732049882406,256.62890830818657,HAM
8,186.6528033063782,175.66409889163197,HAM
9,183.3690630993753,183.6408074900614,GAS
10,264.09068247453416,263.3454868,HAM
11,192.75345730331827,187.40781507155722,HAM
12,168.91007230607394,168.23313480002923,HAM
13,256.6732640284792,256.7183389351923,GAS
14,272.48778437432713,271.96435415447985,HAM
15,286.9172149984753,283.81847828405796,HAM
16,209.76315709460317,205.0629325114398,HAM
17,204.80153925124233,189.89842292241846,HAM
18,247.39320849382716,241.65616263576533,HAM
19,282.86261394819354,282.5598315858544,HAM
20,293.03939374545456,293.17743769977324,GAS
21,211.0667981551594,207.9689465873874,HAM
22,154.1966769417944,146.67953844102823,HAM
23,164.60127067517965,155.6335417167507,HAM
24,227.25946109688013,225.45667034262993,HAM
25,260.31380698012947,261.26666666666665,GAS
