Minisector,RUS,PER,Fastest
0,294.298249984,306.3261905710053,PER
1,207.09914936565656,210.69279362044983,PER
2,141.9098323661516,136.44185057324535,RUS
3,217.10415584415585,217.74559006407196,PER
4,161.0786422002782,152.3268646047916,RUS
5,184.78537374337662,171.74237594409277,RUS
6,253.6007837171227,249.8039828088889,RUS
7,277.1544668908151,277.98624473565405,PER
8,282.9093694335097,287.76676489680676,PER
9,267.3787831675186,264.69729106666665,RUS
10,253.99993571676492,244.1464697000055,RUS
11,245.7747892278697,243.99836487619046,RUS
12,208.877175787961,210.15917530848316,PER
13,134.00586306009583,134.24288029984243,PER
14,144.63403515670302,143.24268536154008,RUS
15,177.55694822162965,178.0372546830142,PER
16,250.54436870927103,255.84476186681968,PER
17,231.6338289719662,234.17848878730157,PER
18,112.53959254925012,109.04599767284691,RUS
19,203.344598043366,194.5420302234247,RUS
20,198.61701201586027,187.80253161597545,RUS
21,234.38888234240363,233.1494791206234,RUS
22,263.43168232903827,271.1555288751839,PER
23,279.96933152999287,296.95230354043235,PER
24,289.5482239494431,314.06797517377856,PER
