Minisector,PIA,HUL,Fastest
0,280.4419327417787,284.7046892946503,HUL
1,124.64506921535235,117.55378486639898,PIA
2,167.0414499046425,159.19244738058663,PIA
3,211.62049671736494,212.00726797682427,HUL
4,170.01615076405537,168.98381527086755,PIA
5,243.2307273709091,246.1433917424762,HUL
6,227.63135581875903,207.01187071390476,PIA
7,134.0354294105884,136.56699919284543,HUL
8,232.88516225871345,238.26818065904763,HUL
9,285.02199761608466,278.0610831413343,PIA
10,295.2578152251893,286.95703147658054,PIA
11,154.05072631266768,156.09727069991098,HUL
12,225.63490629775248,221.87182173840984,PIA
13,271.18502838812617,272.58916224920637,HUL
14,258.4838387737143,260.6944655310438,HUL
15,100.41898412597871,102.03146143798435,HUL
16,219.54855130590545,223.0757683107458,HUL
17,281.1316965561905,271.5544216083984,PIA
18,303.459851147619,293.66911287333335,PIA
19,319.7932158094515,302.69009278838763,PIA
20,325.46010042380954,308.421182328949,PIA
21,280.2669423077694,283.10436915555556,HUL
22,152.6478985535719,152.78314099565983,HUL
23,240.86371588969425,238.64786593055624,PIA
24,289.1569993539589,277.20288793599997,PIA
25,299.8571428571429,287.91000064,PIA
