Minisector,NOR,PER,Fastest
0,264.980157566377,262.4482090806734,NOR
1,133.74843026892114,137.79127154127156,PER
2,270.35122520674497,265.7259196943017,NOR
3,316.01800403666164,306.4120999832381,NOR
4,315.65302576203175,306.3172004598353,NOR
5,327.5731085274622,314.58105940409814,NOR
6,333.2847655012121,317.4012683230152,NOR
7,339.62208315944133,317.10282118888887,NOR
8,198.72070451595656,208.65333461133076,PER
9,201.69726956867328,206.56086207949144,PER
10,178.63951334300089,198.27354983883075,PER
11,172.79358332132892,182.09871812258854,PER
12,260.27457661063903,255.13994223639875,NOR
13,279.4808804138146,285.68676223887127,PER
14,287.97653572613126,285.9603523681864,NOR
15,274.5457460938272,284.2901114013825,PER
16,177.88523425346332,188.47514179905315,PER
17,200.43709335808612,199.53570022550463,NOR
18,249.86470007119303,243.27798951769302,NOR
19,292.26145756025835,288.7153158148834,NOR
20,313.2923340794876,304.1355329575294,NOR
21,319.91400879836516,310.7845384566154,NOR
22,317.05458805229597,308.2273158690763,NOR
23,249.26982839842145,272.62717727030304,PER
24,121.43198855600272,124.77965980431348,PER
25,235.90000213333335,234.97999872,NOR
