Minisector,ANT,ALB,Fastest
0,303.40013156432144,306.8020739514375,ALB
1,200.73280605710588,186.55677398369554,ANT
2,211.9803595813691,227.1411014810778,ALB
3,273.84743681940415,277.819088274882,ALB
4,247.5720305346351,218.4358320068884,ANT
5,125.27770809862604,122.78533342149167,ANT
6,199.79885257711655,203.66368264866685,ALB
7,231.9612955716336,246.10881875132088,ALB
8,216.00567024063295,215.97511909942537,ANT
9,222.66496271157175,230.88671146751543,ALB
10,270.9632211274643,275.16091271425745,ALB
11,290.872402697984,294.08914417868505,ALB
12,304.9083959899749,309.8171424332572,ALB
13,321.0353279235396,323.67946106771325,ALB
14,328.54428575193276,326.99956925464124,ANT
15,223.774064262657,225.7880647546668,ALB
16,229.18534740076677,231.37780207384145,ALB
17,280.52925806887873,289.3713045778363,ALB
18,303.5206765142703,286.6396644544712,ANT
19,142.54614688756413,139.08777190865143,ANT
20,190.85714113891026,191.39473190919915,ALB
21,190.94376727401223,126.51929452082918,ANT
22,133.12905487131036,155.60487825990666,ALB
23,231.60654497948914,255.82898045240853,ALB
24,294.3894883126207,301.1977930946809,ALB
