Minisector,GAS,SAI,Fastest
0,293.61216931216927,306.43301321025643,SAI
1,235.8629892392157,237.49349799206368,SAI
2,132.65431335672514,130.56982603370218,GAS
3,240.46600787142856,240.24092087142856,GAS
4,194.43385424000002,185.29403538484124,GAS
5,243.45101991485828,247.58750021505378,SAI
6,231.4369920717087,227.83455601563065,GAS
7,252.31182576253968,255.152058182115,SAI
8,282.04204111798566,291.2009669432734,SAI
9,208.62522427387387,206.31963239446324,GAS
10,206.6789327685043,205.04808778378379,GAS
11,266.6093113469388,274.30845750530614,SAI
12,212.38337154253333,212.9939797037037,SAI
13,248.44220462795698,244.16031394666666,GAS
14,286.1431968957156,290.0168879181658,SAI
15,296.93466666666666,312.68911015898726,SAI
16,292.1500844794651,319.934166144,SAI
17,239.20584047142856,220.6067074827493,GAS
18,267.4291648111092,264.0358641904762,GAS
19,292.4788580740741,296.7947535407407,SAI
20,296.6612641096325,318.23802124444444,SAI
21,288.45817896296296,324.7349738195583,SAI
22,155.37330328273345,152.2056376824978,GAS
23,234.18598911196776,230.10107786493882,GAS
24,285.4237181128205,297.54188202666666,SAI
25,294.3833322666667,313.5249994666667,SAI
