Minisector,RAI,RIC,Fastest
0,235.36296355555555,232.39772462222223,RAI
1,285.9067179218574,280.53756712281574,RAI
2,298.0747024761905,293.1590284204378,RAI
3,303.13401794285716,295.5625000727273,RAI
4,273.3605684095014,270.67693490175844,RAI
5,176.21921986499441,177.38625817251702,RIC
6,265.8526292952381,258.2998838034116,RAI
7,283.3672401121329,275.1056612753623,RAI
8,220.61633574421768,225.79412362979204,RIC
9,219.98908190506324,217.59118430755558,RAI
10,189.1076471180375,193.70672410304113,RIC
11,227.76682240000002,222.84255057632654,RAI
12,209.40187209750658,209.330824273137,RAI
13,217.25950703164008,216.79460342349205,RAI
14,223.78642113580247,224.2066938018881,RIC
15,184.58476140698414,189.14467402795137,RIC
16,248.81201518397393,247.82311877648698,RAI
17,291.75102843290045,287.53031763301584,RAI
18,308.57062522666666,303.2700396698413,RAI
19,294.6604406428088,294.57321376277054,RAI
20,129.87344524522823,133.6485531335661,RIC
21,167.67634956824543,168.49780759369222,RIC
22,149.76452387164525,153.83775403598116,RIC
23,206.77606681123632,212.60038271264366,RIC
24,142.79241348207574,146.41710386553277,RIC
25,,179.90000213333332,RIC
