Minisector,NOR,OCO,Fastest
0,297.4625464368886,287.9617561362963,NOR
1,316.8531128747795,297.3317227670588,NOR
2,325.4703776333333,302.17870021226895,NOR
3,311.62314285714285,297.8326443963399,NOR
4,170.22461084643479,166.56197134261893,NOR
5,206.43161630036633,203.51519631892552,NOR
6,232.3672875202552,238.40173980120605,OCO
7,266.4770733662888,266.2414586506667,NOR
8,247.58835978835975,252.74159161489175,OCO
9,162.75756687426062,157.2151556189657,NOR
10,222.13330898992407,226.20519544888887,OCO
11,126.81562304393911,123.60216399343248,NOR
12,228.7815855477809,216.8762078497621,NOR
13,177.4415008332787,175.9896450219355,NOR
14,216.41140668666665,204.053917793204,NOR
15,241.20802182121523,237.62795131555555,NOR
16,264.0077161323457,257.68603423768315,NOR
17,283.6773851229893,281.74348430424817,NOR
18,155.46768970124083,154.64329832539087,NOR
19,160.24322817792626,156.75339431682016,NOR
20,142.61392596996134,134.32077203220896,NOR
21,229.91800615238094,221.82027882666665,NOR
22,262.6533062817391,257.48897864900215,NOR
23,252.9437415288787,245.46407818747474,NOR
24,274.6359188644156,268.5818978605688,NOR
25,283.6477277090909,280.56874933333336,NOR
