Minisector,SAI,KVY,Fastest
0,288.5996404727098,305.60086992856026,KVY
1,305.20875013333335,331.9849206349206,KVY
2,299.980978944962,323.66804511278195,KVY
3,183.3857824078873,180.94011213796472,SAI
4,226.77495213245066,218.34788745239126,SAI
5,210.06556483006062,205.12456364698411,SAI
6,193.20883940547364,192.57156957469073,SAI
7,218.4147782338178,214.38517325660462,SAI
8,259.45843297777776,254.82112542199957,SAI
9,264.69746379130436,258.86885323887867,SAI
10,177.51496653832,175.6578495059228,SAI
11,241.03741932327927,241.88926293333333,KVY
12,115.92117821727548,120.090964691455,KVY
13,228.6149705876543,231.20773828106107,KVY
14,274.2880373994805,273.7922547362644,SAI
15,280.08509294244305,280.25887684637684,KVY
16,208.61030503327504,212.07082901939674,KVY
17,186.90465720784314,187.4388948457417,KVY
18,271.1016236233654,272.1372023809524,KVY
19,294.7832073050505,296.8326150020333,KVY
20,305.59208341333334,308.152256541633,KVY
21,305.5416666209524,308.7525,KVY
22,259.9255337539047,272.49534320539846,KVY
23,117.53287611898965,117.3981239029064,SAI
24,246.242812981685,242.45864267580953,SAI
25,,276.88124960000005,KVY
