Minisector,ALO,HAM,Fastest
0,289.46766132155847,290.02803108810457,HAM
1,153.9176030374687,160.3983127751737,HAM
2,173.66972794766082,174.55325696712524,HAM
3,254.8934306973336,253.99094713634688,ALO
4,288.55187093696145,282.97447919919193,ALO
5,247.59232629629628,251.22325979484884,HAM
6,228.28341334857143,226.51628059654323,ALO
7,160.32717017522197,152.49442697936607,ALO
8,228.42307142942497,227.6616124216889,ALO
9,280.0490219270669,277.54959257981494,ALO
10,299.15158646627185,296.26500636818713,ALO
11,307.5644607843137,302.8733872364827,ALO
12,309.82282988888886,305.74185465797825,ALO
13,308.0025999975064,306.5054557629629,ALO
14,131.47350513125363,130.20962857018134,ALO
15,120.78199807310328,123.62662192143117,HAM
16,104.35846471735684,106.44127838812972,HAM
17,233.99370553812244,237.5488894667278,HAM
18,289.92284549761143,285.6946441504974,ALO
19,307.0010875755899,304.2610095444064,ALO
20,315.7688016108392,313.0069055619478,ALO
21,320.3824305422222,317.5365497263158,ALO
22,128.5607928280061,125.01136135422496,ALO
23,200.98294844980248,205.7958228143777,HAM
24,269.1581619198629,266.6783066451948,ALO
