Minisector,ANT,PIA,Fastest
0,310.3627388773109,328.99536458333336,PIA
1,248.57167779381908,224.6163542746495,ANT
2,131.4920157072132,134.93163562999501,PIA
3,214.05998433546785,220.3673149511111,PIA
4,263.5742564028988,265.1332098765432,PIA
5,290.1008911313837,292.57598897582415,PIA
6,305.51770563287175,302.0974172511006,ANT
7,294.0038889382067,279.1014705882353,ANT
8,177.11559730378377,178.86279056183682,PIA
9,235.63396032059487,241.17258145363408,PIA
10,272.0873265780058,267.32205952380957,ANT
11,268.78354600144775,260.42648838857144,ANT
12,208.8095640081001,214.91852813852813,PIA
13,126.6345584499654,127.73583673283208,PIA
14,119.33873400753912,122.41025450598295,PIA
15,163.00089896837926,179.08008752117448,PIA
16,121.00503742222303,120.78286357532279,ANT
17,224.23446998890125,230.99675505050507,PIA
18,188.0511830789156,183.7941424514271,ANT
19,156.05649385027917,162.36387356483516,PIA
20,241.51906792703502,247.00479156926647,PIA
21,273.2269823858628,276.9178042328042,PIA
22,291.43256190431373,294.0924999555556,PIA
23,301.01812498,304.4315056325386,PIA
24,307.02241589270784,310.4019814814815,PIA
25,,312.0,PIA
