Minisector,PER,GAS,Fastest
0,294.6921589057326,310.35097348822455,GAS
1,296.8675438596491,318.40931356862745,GAS
2,297.479443608638,324.0630685073223,GAS
3,234.42567811638443,219.29747029724848,PER
4,238.29982697777777,221.72523927369122,PER
5,116.89174986755519,112.2375878291609,PER
6,220.06779163700753,212.2767643426565,PER
7,269.55995637056276,268.6388789264069,PER
8,236.09000213333331,245.5196469474444,GAS
9,117.34116683319613,112.75327406903287,PER
10,236.67059034273063,233.3931294081949,PER
11,258.0843617108225,249.25996396521737,PER
12,140.98118154374473,135.4472326605786,PER
13,212.3438261728395,209.80169122834437,PER
14,268.5675167419501,271.5458163745074,GAS
15,229.12268634074076,231.21945426285714,GAS
16,161.38434777955138,150.24959045216028,PER
17,242.65362286376813,239.8711797777778,PER
18,128.7368824033553,129.443922224235,GAS
19,147.83117479751365,143.52875022323852,PER
20,191.99755673431858,174.6968731,PER
21,257.7399509193936,254.38819902333012,PER
22,275.1484068366888,274.994189199093,PER
23,280.1897915504762,281.0896540371882,GAS
24,289.4846540631649,288.8122968908982,PER
25,,293.33095192380955,GAS
