Minisector,LEC,VER,Fastest
0,300.07112115980993,313.5577490863079,VER
1,255.04870790189997,255.28633198933335,VER
2,208.32465320966776,199.5098726900842,LEC
3,270.94604991929276,264.0296586865424,LEC
4,232.55351916430124,234.48220952870497,VER
5,117.50850640531468,121.18267467848311,VER
6,181.65978151725108,185.08073242026438,VER
7,258.5522659646258,257.2721073967628,LEC
8,287.43139449982186,284.9373093913589,LEC
9,300.7141383495033,298.0203734819057,LEC
10,305.98150926725873,300.617665219698,LEC
11,237.82983907967798,223.85669311648354,LEC
12,147.17883323004764,148.69663521533644,VER
13,259.4670791994365,256.7445448348806,LEC
14,290.34489456477866,286.92309899779116,LEC
15,300.5968219600119,298.4289051497965,LEC
16,298.17888300025936,292.80198144257076,LEC
17,269.3034949669038,269.1914262333123,LEC
18,195.98640837560603,195.03500053976674,LEC
19,191.63607377133033,191.58590475187273,LEC
20,194.5747568974024,190.99664593732078,LEC
21,253.778025667695,246.76694002888377,LEC
22,129.4347116553054,127.77575453634817,LEC
23,202.25711502390854,202.80488265884995,VER
24,279.0749965258373,276.415918403551,LEC
25,293.1562512,,LEC
