Minisector,HAM,STR,Fastest
0,288.00955376,284.5735228014629,HAM
1,300.50671318518516,290.29798302645503,HAM
2,176.38266084923478,167.145490332754,HAM
3,223.92565310068315,216.10799863466664,HAM
4,270.3555185338032,268.88104074666666,HAM
5,288.1826391111111,289.65527914698896,STR
6,292.1257919921212,293.18250687830687,STR
7,181.99013039124665,176.80806950665507,HAM
8,128.60628170563575,120.66165045744229,HAM
9,248.57776562433403,246.62427018719768,HAM
10,279.8774663534742,280.9962713263158,STR
11,290.11493260405825,288.67807023157894,HAM
12,156.02174545933775,144.08286135205688,HAM
13,192.40232423207522,188.85388881109634,HAM
14,258.7009354376417,245.27076831888562,HAM
15,218.68130294423298,204.56153142857144,HAM
16,225.61544612877364,207.94872177194426,HAM
17,227.8454235410212,211.12296300659338,HAM
18,247.12215806060604,238.98644597857444,HAM
19,274.7320912159145,272.20710183232006,HAM
20,289.8489218915421,289.9482801100529,STR
21,271.0741253614035,254.02468850559256,HAM
22,235.84687771488368,212.1330016487619,HAM
23,204.94582685266727,196.16325203790853,HAM
24,261.3940652000411,259.0477946426089,HAM
25,278.6333333333333,,HAM
