Minisector,PER,TSU,Fastest
0,298.4795303957672,298.5376438151378,TSU
1,218.18214749308407,211.51208659944376,PER
2,227.50144571213676,229.62388776644883,TSU
3,275.3559981000448,275.14723690314344,PER
4,238.18272908307694,234.87677264218607,PER
5,126.52202467885132,127.77557610813403,TSU
6,209.77736893683812,214.21533125592103,TSU
7,263.95528837056276,261.8105256707438,PER
8,256.59173814214876,242.16085217454545,PER
9,245.35851001109629,239.9108595958492,PER
10,280.03738544,276.82891172205,PER
11,297.8673122278095,294.9664394898519,PER
12,306.74733106539685,304.14115233444653,PER
13,310.5075065312169,307.6306818181818,PER
14,307.6548723875969,308.280886849227,TSU
15,271.35701454343683,253.40094075827867,PER
16,246.46731538655217,242.00540993219047,PER
17,281.42944213333334,281.19687888946606,PER
18,289.6823234143319,293.7090705245084,TSU
19,157.73270300993553,163.95585286614877,TSU
20,207.40545727407593,209.82305294911566,TSU
21,188.42272985708183,178.28614420605751,PER
22,140.28631277587914,144.5038036833417,TSU
23,239.59714236720686,243.4991611819199,TSU
24,285.71414856922803,284.17339419220775,PER
