Minisector,GAS,HUL,Fastest
0,263.6440829131653,274.6032697058655,HUL
1,293.2515620666667,298.1656743415873,HUL
2,315.36209208970894,309.72153857833274,GAS
3,330.2445514666667,316.6711906336508,GAS
4,338.9911988136054,321.4767856761905,GAS
5,344.20554036043956,324.8015413322131,GAS
6,291.2247951603672,195.1411477111111,GAS
7,115.8101682984127,107.91991475862629,GAS
8,156.35287271724135,192.18597921020034,HUL
9,257.2599523386243,264.06731052282373,HUL
10,298.0018193049882,291.2815104,GAS
11,242.72159669064655,161.12418113713917,GAS
12,93.5957356750243,99.82563152911733,HUL
13,112.37995305614487,117.15492822252435,HUL
14,215.8014569066667,219.94962025281384,HUL
15,185.67569449817057,185.54741879906396,GAS
16,220.9263885206349,223.95595276190474,HUL
17,188.39183651442843,173.66693973257347,GAS
18,224.74416544000002,239.96057893998352,HUL
19,272.4767851831933,281.90931394509806,HUL
20,283.64724691785943,251.13428297960206,GAS
21,149.78093246108375,147.20387847373271,GAS
22,104.81133834337682,98.54569309340401,GAS
23,122.16386116523627,128.216173657604,HUL
24,204.13641264761907,224.47448314013604,HUL
25,,257.05000106666665,HUL
