Minisector,HAM,ZHO,Fastest
0,287.92828922273634,287.99708257829485,ZHO
1,298.0222067169369,296.7718796062156,HAM
2,279.58832053360067,278.6314242266474,HAM
3,107.56607775611444,105.76234073035629,HAM
4,216.58412551616067,218.0353152515608,ZHO
5,275.3335707631746,268.0418407146667,HAM
6,219.56829580507954,211.5167707697218,HAM
7,157.20686677280688,157.19839122560813,HAM
8,208.1067172243897,206.90338047650735,HAM
9,214.43887066307298,211.38630029500635,HAM
10,114.27833791970386,118.20487809524268,ZHO
11,222.71958758051068,221.7891960642735,HAM
12,115.49075811603831,120.77147738011067,ZHO
13,218.36118553515342,213.9187340941848,HAM
14,279.3018054737888,269.3264980598162,HAM
15,225.42868713488252,223.13396448122668,HAM
16,187.34643858561452,176.2249772991001,HAM
17,246.3801738111844,241.585121382196,HAM
18,205.46849123666667,212.10253866133334,ZHO
19,178.57472527201256,167.52475924258846,HAM
20,260.4069565430857,254.18834368284445,HAM
21,286.5358849276112,282.52821391109717,HAM
22,160.2491939273443,175.97210916626256,ZHO
23,202.77336997613574,194.6814431264368,HAM
24,271.267127246071,264.8984294830257,HAM
25,,280.4464281904762,ZHO
