Minisector,HUL,GAS,Fastest
0,300.3392941499289,298.6203483140474,HUL
1,244.7740726963207,251.2752169216159,GAS
2,202.54547573310825,199.82292435750992,HUL
3,265.1555517520916,268.130885230722,GAS
4,229.45209698362797,228.23640404574792,HUL
5,118.96088997404138,116.00348746142508,HUL
6,186.18215361327194,180.36728749863346,HUL
7,259.2334231402445,257.39588159895294,HUL
8,288.7467992593055,285.6060099335749,HUL
9,302.7079799465836,299.00046803828866,HUL
10,306.6369468782157,305.19880934603174,HUL
11,225.05786439121223,229.69851528093676,GAS
12,145.53347935485957,145.15028749069157,HUL
13,259.00701897480343,257.9761641403297,HUL
14,293.01803830297314,289.90647142510477,HUL
15,301.9341834836536,299.4376769832519,HUL
16,296.3190408764579,297.2076784990476,GAS
17,262.1373126139411,261.4278144641364,HUL
18,186.72703935284747,185.8313747449957,HUL
19,185.37200779378992,189.11852050942596,GAS
20,187.3815846253454,184.73402182397862,HUL
21,247.54689875522823,246.8425457987643,HUL
22,127.1198375997964,124.81875317291924,HUL
23,204.3089791800618,202.30981003160105,HUL
24,288.2272745449981,276.7983026065319,HUL
