Minisector,NOR,GAS,Fastest
0,307.0153679965201,305.9509394145801,NOR
1,318.9031250755555,313.3583376054422,NOR
2,306.96649850752266,305.44756932664995,NOR
3,181.3235565533646,183.15779507926555,GAS
4,218.2508060363396,213.73297296534443,NOR
5,197.79959953538176,194.2750220080022,NOR
6,182.66005127726206,177.92708535140807,NOR
7,201.024045251772,205.52881440382788,GAS
8,250.03014810666664,251.5072041276679,GAS
9,248.49440351200877,249.35366891797628,GAS
10,173.5197151252531,171.4006473946903,NOR
11,232.16293489812807,231.68870977738766,NOR
12,125.29826598071078,121.78893564216612,NOR
13,238.09423934806776,231.91672516748494,NOR
14,272.684902434632,275.09245427643447,GAS
15,269.54921678814816,273.75294763900826,GAS
16,208.58139766123563,210.4522496163771,GAS
17,193.03104549899666,195.50424689052153,GAS
18,288.50099113897903,286.38800534488905,NOR
19,316.79260014265685,317.24824361454546,GAS
20,313.5107146285714,317.5176629980721,GAS
21,293.65483130589377,296.9725861954579,GAS
22,258.12527726547506,262.7844633879365,GAS
23,122.59649278920355,121.39308624277115,NOR
24,250.91092579434164,242.8375494988506,NOR
25,,291.34000128,GAS
