Minisector,GAS,MAG,Fastest
0,294.08921079780663,293.588234896478,GAS
1,234.41540364811286,230.59287702857142,GAS
2,132.15835970696827,129.24505104159363,GAS
3,237.62605079034628,233.2403960853108,GAS
4,182.67757015896973,190.42040663989116,MAG
5,235.1677275081204,244.83654516072562,MAG
6,221.72988086830944,232.76974480346155,MAG
7,244.6228171238095,249.5538020305991,MAG
8,281.39508684384,282.86329353540765,MAG
9,206.88509996396397,212.4962975398315,MAG
10,196.31486035151795,201.6763793375599,MAG
11,266.65530739149204,267.6564861709031,MAG
12,207.74923878308243,209.95407466440778,MAG
13,243.4005636569677,241.88906090298852,GAS
14,285.64152654374607,286.9411161572827,MAG
15,300.99473596754854,301.72249845028574,MAG
16,302.2531593904762,300.29055076190474,GAS
17,230.80399852536178,236.0246899503056,MAG
18,263.8101679865201,264.1127367376794,MAG
19,291.1535363441795,291.98219361620136,MAG
20,304.4185231220897,305.2705212778175,MAG
21,305.1056953047895,303.3628578352338,GAS
22,152.27161598035158,155.03225337966845,MAG
23,229.14414014008332,227.49610731731622,GAS
24,278.42957771804447,280.25510684414473,MAG
25,,288.6288087071156,MAG
