Minisector,NOR,ANT,Fastest
0,322.22814069943473,320.17039247686273,NOR
1,319.4497992072804,323.9419358127242,ANT
2,169.95047516814947,159.71403139879294,NOR
3,163.74573246476191,161.0927220017778,NOR
4,200.48259446194243,193.21390370661138,NOR
5,150.32876751324682,149.49229196375506,NOR
6,207.16824905627982,213.8287162931514,ANT
7,272.6069833743916,274.29555231599,ANT
8,293.0217024795592,289.5025875424561,NOR
9,288.96514733803923,278.28804304851536,NOR
10,240.00432407685884,237.25544225471037,NOR
11,241.10552996692786,248.86234110447995,ANT
12,220.42458668654245,223.88787135204967,ANT
13,174.7665390971492,177.45660466086406,ANT
14,142.02820744701768,143.79610913321955,ANT
15,133.70627446133105,129.7492328947863,NOR
16,207.14592621714286,204.35759745303756,NOR
17,272.17052913015874,270.2682647546728,NOR
18,200.98616366506667,187.9973183233058,NOR
19,114.38360308569008,113.8272715232678,NOR
20,212.3542848914286,209.8783517058385,NOR
21,189.05060596236558,185.7295837942857,NOR
22,252.6782899321905,250.78881690947367,NOR
23,276.3172021285714,281.64262884041057,ANT
24,303.0339587131345,312.8238999250794,ANT
25,313.0,,NOR
