Minisector,ANT,LEC,Fastest
0,297.18727655606455,295.04088312844476,ANT
1,310.01188326015034,307.8793441935802,ANT
2,314.6631424363991,310.0053031653333,ANT
3,181.73795362380045,179.26067366089532,ANT
4,204.86242987908287,208.48930299418373,LEC
5,204.38395980026309,199.87964147138322,ANT
6,268.95614331223675,264.8894481202648,ANT
7,254.2787887040063,241.2672843033413,ANT
8,217.87140725589555,210.2014105678718,ANT
9,212.80641173578545,213.92901051839084,LEC
10,133.8668459143813,133.90393353732654,LEC
11,199.51286277534285,196.24526668580404,ANT
12,183.1113760748052,180.8734385064127,ANT
13,253.35512923396826,254.29464775495074,LEC
14,174.62141927909386,174.97817444499185,LEC
15,231.9185204673016,231.02707152644103,ANT
16,280.721720382585,280.50348565447524,ANT
17,292.2789184986679,291.1209910592137,ANT
18,282.2292292905216,278.0803561489631,ANT
19,265.20253545385356,260.6982859300756,ANT
20,264.17797213776623,264.34847397101447,LEC
21,262.48565120853544,260.21528479856727,ANT
22,228.55169054023463,234.52083504252275,LEC
23,205.55961721303967,204.09401702255366,ANT
24,273.0900421823313,272.292558451713,ANT
25,290.9666659555555,286.36093719999997,ANT
