Minisector,VER,TSU,Fastest
0,276.46371463609665,275.5472779677668,VER
1,298.47355432397444,296.3825065917536,VER
2,297.1045489473986,294.69295156039306,VER
3,175.53477937820105,184.32803085759753,TSU
4,117.35769088847101,120.2733641562756,TSU
5,235.06802822443083,233.71177787139598,VER
6,288.9842257064248,278.7174122214166,VER
7,310.5168918547841,293.04329859555554,VER
8,180.82005421172468,183.55976034792437,TSU
9,140.6826451927269,141.71459656557298,TSU
10,249.2434409801382,245.96340421723784,VER
11,289.7257287784127,286.0558662260559,VER
12,302.4136700554808,296.3857595248238,VER
13,289.6177962233766,276.2183503542857,VER
14,300.88965571864736,292.5318072331333,VER
15,299.4053771869343,294.88581743574554,VER
16,257.6229457298551,259.47302216150075,TSU
17,231.969908485615,229.82985790733127,VER
18,286.0973720990804,273.48941374548195,VER
19,315.47546108997165,295.8493878758082,VER
20,326.6820210909091,297.829205189181,VER
21,246.71293322981938,236.79085188530007,VER
22,261.45783875908904,256.0822520014238,VER
23,146.6531545328107,148.481854325868,TSU
24,207.85132909408696,205.52770155021653,VER
25,255.35714285714286,253.68229333333332,VER
