Minisector,RIC,LEC,Fastest
0,297.68928604444443,299.4654759111111,LEC
1,245.5040835835883,248.71503562589578,LEC
2,201.7403957858785,196.68620061881256,RIC
3,264.71224907955815,264.30304739365295,RIC
4,237.48970175661375,226.54460025679012,RIC
5,118.80790112620134,120.48026080440933,LEC
6,178.52998909821372,172.96330748934756,RIC
7,257.2405807938511,255.02499924444444,RIC
8,288.29695540394687,287.40939097811673,RIC
9,301.75758959999996,302.74563469931974,LEC
10,305.51508932571426,309.3912697904762,LEC
11,230.4279406062395,223.82284270617285,RIC
12,149.27943225508412,142.78080050760627,RIC
13,254.6975939378882,254.0595476825397,RIC
14,287.82353436848194,288.52327851210214,LEC
15,298.07247090880253,299.58749992380956,LEC
16,291.7293651301587,298.19807253333335,LEC
17,256.139696987401,257.76850103466666,LEC
18,183.21212109090908,176.1984190284903,RIC
19,185.89420258539445,185.70948176416456,RIC
20,174.05398527603663,177.85521205134467,LEC
21,244.79094974554334,250.53533287009523,LEC
22,127.88199102122677,128.20471801202385,LEC
23,192.45448845247313,192.29900081325638,RIC
24,275.5666910920635,275.34521214741204,RIC
25,,291.72500053333334,LEC
