Minisector,HAM,RAI,Fastest
0,306.24619420270193,292.7536416717087,HAM
1,140.382861059944,127.19251673138412,HAM
2,136.2018933010101,161.4466203296163,RAI
3,228.39116234817243,219.4104203460807,HAM
4,158.13160889064036,159.34122528901324,RAI
5,241.34079296628897,245.55589945902088,RAI
6,234.22639827208656,219.08173631922585,HAM
7,135.67555385833333,138.63563000853298,RAI
8,234.46041599999998,239.35812442666665,RAI
9,277.57083306666664,281.20312466666667,RAI
10,295.28271932235833,290.579167,HAM
11,154.59284363870967,147.7622485010101,HAM
12,213.55105814862816,226.91549570558718,RAI
13,268.8919266666667,276.4264700235294,RAI
14,280.9000139958032,259.31088112592596,HAM
15,101.83525803615242,100.75721132203334,HAM
16,214.15521797970771,226.02642453405258,RAI
17,274.5164562464986,279.38749913333334,RAI
18,302.8672498391813,307.4790075733334,RAI
19,319.6817310358974,323.45019362527967,RAI
20,329.0283332977778,328.4592686040816,HAM
21,304.0502092234967,294.1463568,HAM
22,152.46732323940887,152.61543743901692,RAI
23,232.74755019125558,240.48020693333333,RAI
24,285.36190497703086,286.9454479327731,RAI
