Minisector,VER,LAW,Fastest
0,306.13239082857143,295.7699415047873,VER
1,162.6716506444325,148.0673919912557,VER
2,218.14796545939393,217.7247937337098,VER
3,288.010226398797,289.57169196856637,LAW
4,315.4851876957143,314.17998846003655,VER
5,317.0623536136082,312.22291192242426,VER
6,181.73286145433232,158.60159461291204,VER
7,117.86774049322491,132.9133343831226,LAW
8,243.57298893476082,257.44319639938635,LAW
9,296.9601889238627,296.18546870349377,VER
10,301.13392040522314,295.63348187759954,VER
11,138.3265231199098,128.92522676567697,VER
12,180.0357679679597,183.77923266106677,LAW
13,244.38953756580017,251.04718880704928,LAW
14,193.26295809311048,175.71904692195605,VER
15,194.8853833599856,201.86934208809404,LAW
16,197.55880356204943,189.63088012072723,VER
17,234.82327776867623,234.382738369161,VER
18,280.6085041861816,280.3336549707603,VER
19,294.0646093242857,294.55310452287586,LAW
20,244.31537323319728,230.22264064783067,VER
21,205.9960882685972,188.81406482609165,VER
22,187.7940000365393,190.12316815692307,LAW
23,270.285089441522,270.76139927218736,LAW
24,304.1308874404762,300.4747397,VER
