Minisector,RIC,RAI,Fastest
0,231.19609627101815,228.6174742210954,RIC
1,285.11307124419045,281.08186267375504,RIC
2,312.1759126160201,297.2691666529524,RIC
3,325.15327973244695,302.93039258944526,RIC
4,282.7261886945055,265.1508816818342,RIC
5,158.53039215525968,158.04119708053813,RIC
6,254.29704315457622,255.87379549316913,RAI
7,269.27822525096127,275.02638885925927,RAI
8,212.56365887478273,201.16930926312259,RIC
9,216.1592074853665,214.17951501546338,RIC
10,178.8588113456394,173.54712094836674,RIC
11,221.5751060927078,218.4137005301777,RIC
12,202.70348693726217,197.30187378284458,RIC
13,206.01556094107596,204.47999862857145,RIC
14,214.8487462554864,217.8505420711789,RAI
15,177.44086449608398,174.7735951283759,RIC
16,239.94358105244302,242.47972072775042,RAI
17,276.92215798146503,283.44071220515383,RAI
18,283.64897633836785,297.475666688,RAI
19,275.16923142564104,292.53696549104046,RAI
20,131.74993031403125,127.2756045041802,RIC
21,162.22019605513782,149.9541796424295,RIC
22,144.67433404651283,150.42818518400313,RAI
23,202.2981788466077,194.74374015510813,RIC
24,143.70216499254985,141.25175355242214,RIC
25,180.56667306666668,,RIC
