Minisector,LEC,TSU,Fastest
0,245.3381896827586,246.83975486802723,TSU
1,279.51180555555555,282.278638620828,TSU
2,187.45750643656555,184.27309472462247,LEC
3,154.18816290909092,151.90621941419266,LEC
4,255.79296988607717,259.49097227318396,TSU
5,273.6139047619048,262.0906517107584,LEC
6,218.24098160639346,209.85602852066145,LEC
7,197.2113774976871,183.53710832681705,LEC
8,151.6503306538639,150.95934979616234,LEC
9,211.9120096887617,206.1295609207323,LEC
10,272.59583333333336,273.6690006186667,TSU
11,128.18545702717367,122.15093929529237,LEC
12,206.33769136649863,202.2392975694309,LEC
13,269.1148351648352,271.37023882197803,TSU
14,289.6654951766528,291.665645333704,TSU
15,297.88999680738425,298.8884058898551,TSU
16,252.2393515851852,237.61378817471265,LEC
17,133.57521097428085,128.0907724997122,LEC
18,128.5394589828105,127.51047094880872,LEC
19,120.32852110320545,115.89089102187191,LEC
20,222.1710523579312,224.22774532031224,TSU
21,250.93086419753087,252.6674391703704,TSU
22,244.88021019858266,229.78088907839614,LEC
23,225.07871002412696,213.30234266190476,LEC
24,142.31148519343185,135.60988225386697,LEC
