Minisector,RIC,ALO,Fastest
0,281.9042565883454,294.0789772329004,ALO
1,292.0035716063492,314.50679809122806,ALO
2,294.7914583466667,326.3306878306878,ALO
3,288.6519923478261,325.98625673573633,ALO
4,238.17715939204612,256.90329924444444,ALO
5,190.16003868076598,184.51173973867654,RIC
6,255.5243542955706,253.30163014492751,RIC
7,276.00081172640694,277.9218554358435,ALO
8,205.60006229274234,197.31481446906145,RIC
9,203.56666286695477,205.827220456604,ALO
10,139.3751533895216,133.43632695407152,RIC
11,245.5433273636594,242.53372763419918,RIC
12,270.1558133588458,268.9287607757576,RIC
13,217.6724402616362,213.08688046891814,RIC
14,258.3906273518278,258.50833303188404,ALO
15,217.28670441925922,219.41518990385998,ALO
16,183.51563470829223,181.19351271815412,RIC
17,256.5774151136125,255.1987848888889,RIC
18,151.41361287971904,147.85057651111055,RIC
19,210.5594259086221,202.6944391249956,RIC
20,270.14505684813423,268.19428998847286,RIC
21,288.589430092921,293.34559101964646,ALO
22,160.05656013061983,157.0053619339979,RIC
23,181.57997064575568,174.04544027315242,RIC
24,257.27478747911675,255.50185104457577,RIC
25,273.8,279.0499989333333,ALO
