Minisector,STR,VET,Fastest
0,272.79639078717065,268.42814650340136,STR
1,289.8743735017544,284.97197747854557,STR
2,296.2050928,292.23034994447113,STR
3,129.83574195017786,130.0670092160013,VET
4,207.2014762553792,197.9027765337548,STR
5,258.7370720077563,254.78619584580497,STR
6,144.35855789778455,144.53977502792546,VET
7,214.53731077159614,207.49149060475844,STR
8,263.76919622857145,257.5112813133787,STR
9,281.10407255739347,276.6325299047619,STR
10,251.59120436464315,243.5421133786682,STR
11,187.18347801116585,182.37604747351008,STR
12,197.3445981925926,195.4075158407655,STR
13,143.01228321629506,149.0286916927677,VET
14,188.32982231111112,183.69675189473736,STR
15,167.49045745,164.5536937187675,STR
16,227.62704439917184,218.59809057710245,STR
17,237.26250045879917,239.90126803478262,VET
18,241.86440219679645,242.4287873939394,VET
19,231.95181328695654,248.37217075618847,VET
20,147.07107661128148,141.8521242903652,STR
21,136.97363664616609,135.9464767639532,STR
22,177.41100455151704,173.0984501540342,STR
23,152.54227846771943,149.52120053025067,STR
24,232.08253074285716,224.82217262157826,STR
25,259.75,255.53055644444444,STR
