Minisector,NOR,HAM,Fastest
0,249.36069129225442,252.37132080529685,HAM
1,284.1860209253333,288.08414703238094,HAM
2,158.75548451663593,181.29675380743498,HAM
3,170.0749862029426,155.00061157803174,NOR
4,257.49087904447066,256.3872006399782,NOR
5,265.4170667444976,276.0830705430303,HAM
6,235.1989538881119,242.95835390085674,HAM
7,207.5551718727104,212.85091726575962,HAM
8,163.213173869325,154.04309989561241,NOR
9,221.05940045113255,215.44392598463352,NOR
10,272.17483367915895,272.10559356775707,NOR
11,130.47539843823537,127.17181453113196,NOR
12,216.93100083065661,211.01221357219035,NOR
13,275.87538988549846,275.78307647570625,NOR
14,298.88293145333336,297.6744297716017,NOR
15,308.4552631578947,307.01492957555786,NOR
16,247.18691331200134,238.37138613228157,NOR
17,130.45736889063338,128.2908261153879,NOR
18,131.0572226082526,128.70370035502566,NOR
19,122.7413453426708,118.49131602748021,NOR
20,221.5910517934118,227.91446960761903,HAM
21,248.4787757484737,259.93344358442135,HAM
22,245.51051887542857,248.3321577266992,HAM
23,222.76179913035114,226.4199994066911,HAM
24,135.49343724937188,137.8197312246734,HAM
25,216.0888888888889,218.38333333333333,HAM
