Minisector,MSC,MAG,Fastest
0,295.54921399602216,284.5655363773465,MSC
1,307.10966698666664,291.2972065986928,MSC
2,164.89709396651637,147.54131566043506,MSC
3,218.1909563541657,221.38349925000867,MAG
4,269.3173331254344,270.0882829884624,MAG
5,286.9977777840506,289.33448929351994,MAG
6,293.9221727238095,294.5436042514286,MAG
7,184.1704507923106,171.96820535597587,MSC
8,121.28425614990188,123.75632573839277,MAG
9,244.9748872292641,243.42691677482506,MSC
10,281.28067440169315,282.00435644342855,MAG
11,288.54445367395243,288.8141398785185,MAG
12,145.60824748685448,142.4435039629022,MSC
13,191.54982440774972,189.32746475698744,MSC
14,252.537039475492,253.32593951595845,MAG
15,194.30495893583517,202.05030674942336,MAG
16,211.43727983525812,212.88230531644876,MAG
17,207.5214516998347,204.24387905025472,MSC
18,234.57592665881893,241.79410846559506,MAG
19,271.58198755416726,272.8510738253474,MAG
20,287.8344293652525,290.81910678857145,MAG
21,254.18200632800784,259.41060417253067,MAG
22,217.82775009170462,218.4537218247014,MAG
23,198.5096793441861,192.2698870822313,MSC
24,260.56818575037596,257.40045135576713,MSC
25,278.5,,MSC
