Minisector,NOR,BOR,Fastest
0,300.5820870870706,299.5094079049624,NOR
1,207.75288276139383,200.70969383167062,NOR
2,223.81436968655237,219.59347437013332,NOR
3,274.7010281026757,267.66249743707766,NOR
4,244.97162017376638,245.2417250816,BOR
5,126.49270335991018,125.04066586455524,NOR
6,202.26344849486966,197.20911881877137,NOR
7,247.15654182090597,242.7411968910053,NOR
8,232.47483948433862,237.4459729923423,BOR
9,239.59647185553195,233.28935665747974,NOR
10,286.4105369587252,283.8510623135943,NOR
11,308.83720877291415,307.6317791017687,NOR
12,316.6958806820202,318.49220813206347,BOR
13,311.3108939088889,314.4471582921611,BOR
14,302.6642948404762,303.3533613915966,BOR
15,261.66577517876453,258.84672859691295,NOR
16,240.87373706666668,237.2287377349126,NOR
17,279.8240424617744,275.5361874632035,NOR
18,287.8219948039143,286.7708941183484,NOR
19,162.85503772650486,154.4437113066435,NOR
20,199.04185203665494,190.58296900642563,NOR
21,181.19965821683294,181.1753031787849,NOR
22,133.06539192072697,131.7902778656021,NOR
23,236.94329830214025,230.62873859666627,NOR
24,287.73174637206347,285.38925988975234,NOR
25,297.4375008,295.67916586666666,NOR
