Minisector,VER,HUL,Fastest
0,313.0249300945454,307.83250756471676,VER
1,239.11125580060215,246.9282142857143,HUL
2,133.00903303351043,127.47688337372176,VER
3,222.07111086814814,216.75039285714288,VER
4,266.98248891241434,261.9404370443476,VER
5,293.5279218346194,287.40245535714286,VER
6,309.1378039595828,303.65208333333334,VER
7,284.4645041756863,303.76447601122914,HUL
8,175.34213218812462,173.18752727272727,VER
9,241.46318682373922,235.7610755683969,VER
10,274.61793762329637,270.8424970345295,VER
11,260.6290446682353,273.68659226190476,HUL
12,210.62384405665324,207.72053744927535,VER
13,125.61400374621779,127.78372612565782,HUL
14,123.84842381442586,118.68667914770212,VER
15,156.832334709506,171.10857280912336,HUL
16,124.4088212451245,120.28697424314255,VER
17,229.4544251668027,221.18839276461136,VER
18,186.91808807081406,192.90600328980315,HUL
19,164.32442364014074,151.58442673246256,VER
20,245.13143441955418,242.14686716791982,VER
21,275.3228839068783,273.2060884246726,VER
22,294.1273563854912,292.00417748506237,VER
23,306.29126107493767,310.4589285714286,HUL
24,311.7412202666667,319.820030434388,HUL
25,,320.06041653333335,HUL
