Minisector,NOR,SAI,Fastest
0,293.85348933875076,292.58690556341446,NOR
1,306.55837329109437,304.38941662400003,NOR
2,313.7730476381699,309.2961768451019,NOR
3,314.31083322666666,313.5431830892386,NOR
4,190.90550432573477,200.61832324246546,SAI
5,211.71372754364532,211.53151296653593,NOR
6,268.3861669005848,268.18401764,NOR
7,271.60837317155557,274.0803927754377,SAI
8,193.3049609351065,181.90301948064626,NOR
9,142.3151122863413,143.01535535350862,SAI
10,182.75437543675574,170.26205048613699,NOR
11,261.5988464069264,256.990893999407,NOR
12,247.17273755692435,250.92784053333332,SAI
13,231.01250941849804,223.91502664276678,NOR
14,272.053584616127,273.3108408857143,SAI
15,163.84392986340134,160.4772885296499,NOR
16,220.9137942912,216.72071032546583,NOR
17,232.6723452253262,246.7144352381493,SAI
18,131.5540433297143,134.15842288436764,SAI
19,241.3023934193963,241.52479850733212,SAI
20,282.5880202600151,282.20850185148305,NOR
21,237.91676506131517,262.2683924736508,SAI
22,138.4444055259259,135.9281238163119,NOR
23,204.7990675098533,202.25243380173382,NOR
24,271.88332882539686,270.01320876801174,NOR
25,,285.4937504,SAI
