Minisector,ALO,TSU,Fastest
0,290.80753402107933,284.85340136054424,ALO
1,305.4263654125117,293.42994628593306,ALO
2,312.34665592736656,299.1359524190476,ALO
3,293.92639323089946,294.93335600907034,TSU
4,158.50084373981636,158.0460536620693,ALO
5,198.14177440293582,194.6001508879121,ALO
6,219.17384965874209,213.14642841074925,ALO
7,256.8194685341479,255.52015873015873,ALO
8,234.30569916709456,236.98459555095127,TSU
9,148.00996038813454,147.90764605945165,ALO
10,209.55038344679087,216.63935024769765,TSU
11,125.31640168895704,126.08178710264549,TSU
12,225.25644802225196,223.74341238471675,ALO
13,163.7848156325926,171.53850171738122,TSU
14,209.46490012451162,213.4866516092603,TSU
15,215.98146842849272,217.69593564606063,TSU
16,251.39461524812003,243.78940988835726,ALO
17,268.00797754731315,278.4139575457432,TSU
18,141.91395597458867,148.41037761588464,TSU
19,159.10839976837522,160.94145375889283,TSU
20,134.98767149648444,130.08569001416362,ALO
21,147.08918863920942,146.5174892831185,ALO
22,107.42589931275897,107.14725251687577,ALO
23,214.8200813864713,207.5264557445414,ALO
24,258.00078127507965,260.19312925170067,TSU
25,268.9593744,277.64444444444445,TSU
