Minisector,VER,RIC,Fastest
0,274.53016752589076,274.0464236574194,VER
1,233.9958783945319,243.91931966795778,RIC
2,119.45693833899122,122.37714873423249,RIC
3,196.3115791458331,191.23985575251052,VER
4,183.29250417132837,187.87697442162946,RIC
5,217.79876162514907,215.5578167423339,VER
6,274.34739269309813,274.50179817619903,RIC
7,292.51026834634774,293.35044523544474,RIC
8,186.44313253646212,190.0471260808268,RIC
9,135.50550719798682,137.4818302249673,RIC
10,136.60632599755778,133.46056299025383,VER
11,190.8159782670759,191.59206671232374,RIC
12,221.87602320092392,229.08669538950585,RIC
13,137.8219920668175,138.1572995676714,RIC
14,158.9347132400787,160.7561178766243,RIC
15,125.04689282727205,122.05501712399222,VER
16,254.1594536886043,253.35842856238222,VER
17,146.7070402584082,150.41294935468858,RIC
18,201.93443250876885,198.95444096745396,VER
19,137.13359736483085,140.747004734761,RIC
20,152.04716616794246,154.40142447169933,RIC
21,127.09451059221958,125.91394841102066,VER
22,148.025604450046,148.0489163285369,RIC
23,218.74794869075777,224.00014557675038,RIC
24,231.71151087535577,224.5310710744157,VER
