Minisector,RUS,BEA,Fastest
0,299.55114181925927,306.0808475343915,BEA
1,218.62849319418027,193.15481798389226,RUS
2,206.08529499979798,211.41138108496992,BEA
3,268.2867103638247,264.42488547463205,RUS
4,234.17723596772487,227.02903325762236,RUS
5,122.94633359564955,125.21225224476727,BEA
6,207.2913910418328,203.91578566059172,RUS
7,240.4242419668687,244.55295749047397,BEA
8,238.69029375542752,238.28411584175822,RUS
9,222.9864385590062,227.3200211974603,BEA
10,277.22054400438327,284.08990424644,BEA
11,308.03365338085183,309.59313442793655,BEA
12,319.8874998736842,323.7988540773333,BEA
13,321.84714592144934,322.62513581519823,BEA
14,314.87452402539685,312.72692592323233,RUS
15,248.87005463219998,246.9447290972583,RUS
16,229.65115355115987,227.4908855438127,RUS
17,282.0817328279035,270.9766748943377,RUS
18,291.931050885545,280.7849559990857,RUS
19,159.68241253353793,157.6908176905738,RUS
20,196.88795730592977,188.27405200542967,RUS
21,189.00188637218506,180.14556363220427,RUS
22,129.03885124817162,121.22976245870245,RUS
23,227.36689418184207,233.14159533858836,BEA
24,268.9503010488363,288.9454754893343,BEA
25,291.93457085299855,303.8937488,BEA
