Minisector,GAS,NOR,Fastest
0,316.2754774,321.76982399337476,NOR
1,319.0162526144927,329.0450757575758,NOR
2,312.6970645212121,322.90634059130434,NOR
3,202.94859422253737,187.1632206075188,GAS
4,125.56308713469704,120.30816175625503,GAS
5,264.90385750123454,265.18589810512447,NOR
6,295.48208563352796,301.01761904761906,NOR
7,301.82638888888886,310.0494565101449,NOR
8,272.35181667179717,270.6413580246913,GAS
9,151.62257900642666,144.33001414279792,GAS
10,225.60143267619048,217.38785475445846,GAS
11,222.79787962534925,220.142578125,GAS
12,203.11955362285713,201.4356261912214,GAS
13,268.1103830857143,273.27097069597073,NOR
14,299.03886386031746,306.695951696603,NOR
15,307.64692030144926,314.13623188405796,NOR
16,263.34347481904763,254.58687739259804,GAS
17,214.26050455919193,213.34817927170866,GAS
18,272.7187952996337,276.9523365652087,NOR
19,301.7524998217143,307.89094202898553,NOR
20,307.36990406321655,320.2963768115942,NOR
21,297.4711809269841,297.6799744232147,NOR
22,219.46190107689992,211.70855472671178,GAS
23,265.5975304296296,269.1721907432907,NOR
24,299.43076287199267,304.9032608,NOR
