Minisector,MAG,GAS,Fastest
0,300.6930182269388,286.08754642719106,MAG
1,311.39634779076925,287.37241972705885,MAG
2,157.2254763052101,157.6686975950599,GAS
3,214.11558926524413,220.83842927238095,GAS
4,280.41659633333336,270.8276133868161,MAG
5,307.11055643697483,292.18223641650354,MAG
6,319.2457144990476,296.50828107488326,MAG
7,162.58732593982592,167.6038419956989,GAS
8,119.73342521916713,120.55557453639835,GAS
9,248.12629363809523,245.6550775328254,MAG
10,296.44289700050876,284.57841683746034,MAG
11,310.4141965924233,293.71662083555555,MAG
12,139.01468788448074,149.44038329296907,GAS
13,187.25865845343915,187.20254293502646,MAG
14,253.19485376533333,253.1881008193683,MAG
15,191.3002875111619,205.25769969097144,GAS
16,200.25639681720057,212.78782942371984,GAS
17,199.9753065976889,208.58710712,GAS
18,232.57690272,241.82852931795992,GAS
19,272.73312803151464,274.19664389995154,GAS
20,293.45793090979896,290.7654165485714,MAG
21,256.7442911673651,256.2775554350705,MAG
22,210.55658849231276,221.55683483986263,GAS
23,197.651503188937,202.70955611838826,GAS
24,266.6394531396949,259.87877665865517,MAG
25,,278.1041664,GAS
