Minisector,LEC,SAI,Fastest
0,257.90311271217564,260.1430043954122,SAI
1,135.16136850631685,135.47697307709294,SAI
2,263.8040040420752,270.79884798657594,SAI
3,309.0362032370068,308.8304657519367,LEC
4,308.9533803279412,309.40908586666666,SAI
5,317.6966689846154,317.81708572952215,SAI
6,322.2766262537374,322.04634195670997,LEC
7,318.2379869845182,324.71407531467054,SAI
8,201.11357603335333,198.11034041196407,LEC
9,203.92878291809524,203.8995292575702,LEC
10,179.43022387906075,188.0551959997915,SAI
11,170.58906959502238,178.42668180121169,SAI
12,258.102719400892,256.5182839658456,LEC
13,279.5001157176157,285.267334814602,SAI
14,283.8066470554215,287.5152698746921,SAI
15,276.3309436737566,271.82947614150675,LEC
16,176.30680512707391,171.8929743516335,LEC
17,192.82183977815933,194.2858309910027,SAI
18,246.9101717896517,251.0737633922,SAI
19,288.32689999999997,291.49209163312196,SAI
20,306.2500537590528,308.5326124974206,SAI
21,313.50214285714287,315.03017451702243,SAI
22,311.2129070491488,313.80279441015267,SAI
23,258.6432041544111,271.10714776780395,SAI
24,121.5932329648616,109.59117720080074,LEC
25,,223.10714514285715,SAI
