Minisector,VER,ALO,Fastest
0,290.5731894698465,305.01745774500745,ALO
1,299.1656731405128,320.3596708892022,ALO
2,285.14835733,301.47150471707226,ALO
3,120.03367067642982,108.82921064364564,VER
4,226.07762385771255,224.0813498473651,VER
5,271.93627951424804,268.79441169439156,VER
6,215.92979171366665,200.57784201743146,VER
7,168.08735284338624,169.58720512571736,ALO
8,224.28568172106964,210.27363254300545,VER
9,228.75443168571428,224.90618716485994,VER
10,122.03639544550305,119.45617629850506,VER
11,232.49295125157823,231.1273360252015,VER
12,119.7096837652386,120.49891511062164,ALO
13,225.5112848802791,221.02099017665657,VER
14,272.90121042957395,273.0197513586147,ALO
15,231.8699941227385,217.38326257161197,VER
16,203.21207259521813,201.9737887529837,VER
17,253.3880427938624,255.26179026230744,ALO
18,210.29102837223974,210.88386170894373,ALO
19,186.54693192787303,198.39110170742458,ALO
20,264.43213869619063,263.75234277626595,VER
21,289.46476785124713,286.5757653659864,VER
22,170.9167953243501,168.4971318700522,VER
23,212.87595208492553,206.07668468306315,VER
24,271.00882607512466,269.6226344886312,VER
25,,281.8541664,ALO
