Minisector,PER,MAG,Fastest
0,240.16259036428633,238.59465882082426,PER
1,275.03391533968255,270.4172393321265,PER
2,179.461293781949,175.124824667356,PER
3,154.3316004024932,147.44351978374488,PER
4,255.98807595743304,253.56136768595042,PER
5,274.2680750022777,264.8678624740142,PER
6,225.21335737574455,216.74386169516387,PER
7,198.06859061096935,192.44318421927466,PER
8,155.2619576749633,149.02987173475935,PER
9,213.13003543209788,206.4068294025178,PER
10,269.76191307421396,265.48919103033955,PER
11,118.10641864326472,120.94120656309637,MAG
12,204.8023275344876,200.06160750349207,PER
13,271.6782489251196,264.2523449265151,PER
14,292.58095203114925,286.6806844444444,PER
15,301.6691820349863,295.06160315702834,PER
16,243.02642872611833,261.26586000761904,MAG
17,132.87971651456175,132.41284319214282,PER
18,132.13922726492422,127.62281669211382,PER
19,122.32188391159657,117.79042631433633,PER
20,222.68101877076646,216.07236095364632,PER
21,252.70806929743404,252.60425884981686,PER
22,234.68857822711288,232.78050167472506,PER
23,213.50041303699405,197.5487430483543,PER
24,139.10853775706755,128.83972577865543,PER
25,,208.3279622162963,MAG
