Minisector,VER,NOR,Fastest
0,290.32400995822576,288.72320772909336,VER
1,300.6795483068939,298.85684592592594,VER
2,298.9438034697143,304.3847144133067,NOR
3,197.10203302860637,200.34853639356407,NOR
4,211.05558206922825,213.61264779142465,NOR
5,201.76679668693552,204.07669334110412,NOR
6,263.72505476761904,261.712127219512,VER
7,258.66576485256974,264.7331361650794,NOR
8,218.35274945734264,221.75335182275674,NOR
9,217.51697554324724,221.6030085775238,NOR
10,141.09326521117524,138.757945016306,VER
11,205.55908369058068,214.73036947130603,NOR
12,187.23679246355087,182.75540514654378,VER
13,249.1734054129778,252.7184779073016,NOR
14,189.13839972845244,189.61078208815775,NOR
15,234.3719366352735,230.36627247674735,VER
16,279.10185453779053,277.76149002136646,VER
17,285.7369645836498,289.4994024302575,NOR
18,280.74216689890466,282.1522946365714,NOR
19,270.99377408304764,271.5284386218275,NOR
20,267.43021530906395,272.37263755064754,NOR
21,263.9432692773528,264.63474280671204,NOR
22,235.12628806104888,242.56583854745256,NOR
23,208.36152135547428,210.18759684017772,NOR
24,269.156989249636,265.8641340453532,VER
25,,281.85714285714283,NOR
