Minisector,VET,NOR,Fastest
0,272.66372960575154,278.3820327958453,NOR
1,297.1155090962963,301.28946051764706,NOR
2,310.58156999026875,313.6059522330532,NOR
3,319.75841917355507,321.62426453333336,NOR
4,324.37968746666667,325.77199934365484,NOR
5,326.41822913333334,327.7318627137255,NOR
6,218.85458092789432,209.54241437128138,VET
7,106.77309801649467,106.18198191207952,VET
8,182.92467715274347,185.24777882159833,NOR
9,263.3488685539983,264.7958328090703,NOR
10,292.42879408856777,294.6775058911673,NOR
11,174.83240194085445,161.64065305546217,VET
12,96.5724925856094,99.28036351299923,NOR
13,116.16579622605316,115.64198731736658,VET
14,225.93775367702952,223.8018370915114,VET
15,189.57979233667658,187.62463735671213,VET
16,225.4341601572012,225.47634574575568,NOR
17,180.79919682283807,182.40583652936,NOR
18,238.75251557402598,241.03133987246375,NOR
19,280.2608685723755,283.25460502456144,NOR
20,260.02842771429766,249.08873979740505,VET
21,148.58902045318348,144.74137757323035,VET
22,95.62589805654764,95.1268158035062,VET
23,125.4463866876542,125.4526871493254,NOR
24,229.05491078095238,232.34039795942027,NOR
