Minisector,LEC,ANT,Fastest
0,287.581810932321,287.8455873990885,ANT
1,305.21720411390345,307.59873129382134,ANT
2,305.6606829950938,310.6903179100621,ANT
3,201.8198385583473,199.38028718549924,LEC
4,234.0118638455944,234.02679595187004,ANT
5,223.39987038384928,222.82387276519304,LEC
6,205.06525097991704,203.40693532943305,LEC
7,227.08432976017957,232.36233810536262,ANT
8,265.04933074239773,270.4989160112208,ANT
9,277.2511915423084,276.3616055443478,LEC
10,176.61668690591407,177.02440839143088,ANT
11,237.40009560915985,238.74416998782092,ANT
12,121.06820534257054,111.79827338766013,LEC
13,221.31305989250663,224.81233994606575,ANT
14,278.03097547826087,277.86802366576063,LEC
15,293.924589202963,292.9987662799423,LEC
16,226.4788249579233,221.01222994250784,LEC
17,185.17509748395793,191.23453591464224,ANT
18,266.54880331409595,270.0016206786347,ANT
19,292.5762795323077,296.01374966857145,ANT
20,304.43842784242423,307.60563206643684,ANT
21,306.2201885622575,306.14622031891156,LEC
22,272.28572413856983,275.70396020132637,ANT
23,120.47256576771365,120.01026885602109,LEC
24,247.84176429154834,246.20710005079366,LEC
