Minisector,ALO,OCO,Fastest
0,252.1867953643435,253.68888031783686,OCO
1,214.16069996744932,214.85535952437573,OCO
2,204.68523235178128,202.360476561338,ALO
3,260.12492657700653,255.59800236098414,ALO
4,274.73984689132124,267.340902032162,ALO
5,291.11460237799156,288.6549009558188,ALO
6,165.0282813547963,166.89835555378428,OCO
7,177.18719625901943,178.59635845682706,OCO
8,265.741633892987,267.5022261754929,OCO
9,291.2595865464082,293.1200568875573,OCO
10,302.67110841848455,304.0183068318192,OCO
11,305.0160683323407,309.51345487480756,OCO
12,114.2619167361002,113.28966178942304,ALO
13,182.0805950056889,179.5039017425305,ALO
14,269.57824125428033,271.1903131672194,OCO
15,295.08169468575653,296.8676826409122,OCO
16,302.15725433347706,306.0839242880529,OCO
17,184.7883432268495,182.13075134722789,ALO
18,219.27605827933377,218.00607273655385,ALO
19,260.77652470747313,263.07621646244627,OCO
20,155.2804351316872,152.81466337026933,ALO
21,146.27173694332632,141.41496254333038,ALO
22,217.79942383177737,216.75734345934018,ALO
23,231.43491153790157,228.8408028657014,ALO
24,160.76724007236248,154.64464351064058,ALO
25,226.21338741828612,224.74627112794002,ALO
