Minisector,RAI,ALB,Fastest
0,277.6864584789372,272.40276046531585,RAI
1,296.33082921862217,292.8264900440398,RAI
2,227.81662167812377,245.2064444289294,ALB
3,118.80436220597434,126.55255559375432,ALB
4,138.72381235513217,125.10021772314172,RAI
5,248.53275025103815,238.30861899799606,RAI
6,255.78095745594572,268.2555907267616,ALB
7,127.35504104585472,124.69646359214663,RAI
8,244.6337139643728,235.05178351206578,RAI
9,250.03490140507404,243.16635187028047,RAI
10,206.2027178464714,209.60659429467216,ALB
11,143.60891252083707,143.16130615577453,RAI
12,207.85489991873072,188.9658116452848,RAI
13,256.0060562388439,258.0444520876529,ALB
14,114.46241520731226,119.56610097123807,ALB
15,191.14081655303445,175.0548492378258,RAI
16,254.43319491161432,248.4441595379487,RAI
17,283.68280810667164,281.4245321660952,RAI
18,295.8433262531679,295.0980952611786,RAI
19,303.26022883864096,300.16916672,RAI
20,305.25748324032054,302.10293162135116,RAI
21,162.86523069828567,184.13294586889364,ALB
22,152.06410754411286,132.5960675323549,RAI
23,192.37888649482602,197.4455309905432,ALB
24,232.70543511788307,224.04413220803482,RAI
