Minisector,PIA,SAI,Fastest
0,287.48670923683375,297.81451284172334,SAI
1,297.866506747176,315.2177509822825,SAI
2,303.9552695215686,318.6059523047619,SAI
3,297.34785030614194,318.21805546666667,SAI
4,202.82049808816328,185.1814264376081,PIA
5,221.91400942185876,220.86002526346005,PIA
6,267.9627413977489,268.3915048432468,SAI
7,268.5303625950877,265.37220697448885,PIA
8,200.4229862728205,192.47570378105144,PIA
9,142.5370853450623,140.3292855025214,PIA
10,183.80200310935643,185.4189609607159,SAI
11,263.47004988730737,261.39058842352944,PIA
12,249.16568049709727,248.92024196672324,PIA
13,229.6677571534083,225.17623505493336,PIA
14,270.50268117471865,269.23919974786065,PIA
15,176.5097914652215,164.9189741539496,PIA
16,223.70785869775239,217.7946341702189,PIA
17,235.77347572760934,241.6678614862423,SAI
18,135.52121438231455,129.78166836618152,PIA
19,242.9923924013822,239.74839430857142,PIA
20,283.324455203609,285.02257012486774,SAI
21,267.1693714622745,260.964136605107,PIA
22,144.70685773645022,137.55733283846533,PIA
23,220.11000155647076,203.46601921382234,PIA
24,268.9444053942857,267.0953790091678,PIA
25,,286.33000192000003,SAI
