Minisector,STR,ALO,Fastest
0,284.5735228014629,288.10133203706437,ALO
1,290.29798302645503,297.68562787875976,ALO
2,167.145490332754,161.80800101966133,STR
3,216.10799863466664,217.45543348213405,ALO
4,268.88104074666666,267.9007913439821,STR
5,289.35835021071057,288.73223161200855,STR
6,293.27816441102755,295.7694762423072,ALO
7,180.06276532299879,176.49387201778728,STR
8,119.66722487394357,118.89231872439464,STR
9,246.62427018719768,243.91492911222417,STR
10,280.9962713263158,279.44748024473256,STR
11,288.71574080000005,292.1644737684211,ALO
12,148.59322202953436,148.42244033490945,STR
13,186.5959810151709,180.36649006519798,STR
14,244.77413823883256,251.85946957575754,ALO
15,208.71005186813187,202.01934686181448,STR
16,205.5969646036521,203.30910014466266,STR
17,211.12296300659338,206.54340326201762,STR
18,238.98644597857444,234.02088299814758,STR
19,271.64431783051236,271.4898807365079,STR
20,289.5773178867168,289.87248076095,ALO
21,257.9318016966014,260.69629793656134,ALO
22,213.58942466227106,223.29355250042673,ALO
23,194.05610918076567,199.5611650338681,ALO
24,258.0022383537998,258.5772727134199,ALO
