Minisector,HAM,COL,Fastest
0,268.5476044127677,265.7201426024955,HAM
1,117.35126370809125,117.43403494498948,COL
2,163.22877011695644,170.57401571930325,COL
3,198.25353407933747,205.2497271825397,COL
4,165.86401076477497,162.58110705024248,HAM
5,234.72216571555555,242.15683621933624,COL
6,186.16592726311475,196.17453892008209,COL
7,134.32283763937622,136.13004211092436,COL
8,243.8436639208697,237.5071761037037,HAM
9,289.1207182518518,290.3669642857143,COL
10,276.1228712293037,283.13681200424344,COL
11,151.9274953731889,147.47654980199437,HAM
12,230.4159805921936,230.30390209957167,HAM
13,280.1974076760494,279.141339869281,HAM
14,246.15438383199998,242.43738275613276,HAM
15,92.27522392829597,100.86114605974221,COL
16,229.49583990675316,232.85940918630305,COL
17,294.6476300960706,297.334460152074,COL
18,326.24218317714286,318.34186507936505,HAM
19,334.05859009809524,325.54263392857143,HAM
20,330.01627946773226,328.9716904975238,HAM
21,281.33337234106443,248.328007518797,HAM
22,149.22055244101276,148.50768104422608,HAM
23,246.176166857754,237.44583333333335,HAM
24,298.86889212396295,283.05118706485683,HAM
25,314.3624992,,HAM
