Minisector,BOT,RIC,Fastest
0,287.22437183673924,283.48104149333335,BOT
1,311.59523784873954,309.3124167045055,BOT
2,312.4605376627451,305.20529088677245,BOT
3,131.78668383420757,119.20262288386729,BOT
4,212.01502949600464,208.20316612266666,BOT
5,263.97618097513487,260.420004281499,BOT
6,146.38990947030427,145.21925256617249,BOT
7,215.69516689066666,212.46596961144425,BOT
8,264.9554285139978,260.75291933605445,BOT
9,282.50621014984546,279.2737688380809,BOT
10,230.56141328695654,230.19616022382417,BOT
11,190.09975243705304,180.44784934930877,BOT
12,207.03164050477494,202.1822605638501,BOT
13,148.72524297020084,148.9988047079275,RIC
14,189.34941618233793,180.89471272866828,BOT
15,176.0784545403689,168.09304989555926,BOT
16,229.7678822095238,227.12607262575807,BOT
17,249.31199616853198,236.12307921038962,BOT
18,248.91560651131832,241.11760836081746,BOT
19,236.9733496607018,232.88008466984127,BOT
20,150.97253696426532,148.2777007291667,BOT
21,135.04886211113143,134.95306130406917,BOT
22,183.43536489195404,177.98842421793765,BOT
23,160.31096458499977,154.07831691160155,BOT
24,236.43003386666666,229.54678761350553,BOT
25,,256.6124976,RIC
