Minisector,PIA,RUS,Fastest
0,310.0209625242236,306.0064600193016,PIA
1,240.03435913982923,237.20476014679508,PIA
2,130.28995513843418,121.17787532078144,PIA
3,231.03178681360546,236.9225905323262,RUS
4,193.14546252290194,190.95851940225683,PIA
5,250.12198812380953,243.21040590313734,PIA
6,233.88423646875128,227.03002117967156,PIA
7,258.81795003768985,252.88969168957192,PIA
8,295.57988856238734,293.02101467907124,PIA
9,198.54617597247537,201.42554229007223,RUS
10,204.51210004667408,202.66216241730282,PIA
11,276.0991234871593,273.03528355438016,PIA
12,218.37568466732785,212.33402263809523,PIA
13,255.10585581230302,250.45285138153852,PIA
14,294.69386458882786,293.5177825481765,PIA
15,312.19211518499276,309.47138617920155,PIA
16,312.083682837458,309.4740604631579,PIA
17,205.32576793333465,206.371771307381,RUS
18,263.4477814493531,261.6319943264596,PIA
19,299.3147245845749,296.14901186294605,PIA
20,313.3263911068783,312.1980257887061,PIA
21,312.7057183238095,312.7241453059756,RUS
22,147.52976872327685,147.63593009776304,RUS
23,234.9692699875329,235.17925552761903,RUS
24,289.12884749150413,288.0929504833697,PIA
