Minisector,SAI,GAS,Fastest
0,271.234992547297,268.42409205813465,SAI
1,243.74358052867726,249.1041565732531,GAS
2,111.36754359276395,108.59874045616219,SAI
3,165.841985205154,176.4131361035211,GAS
4,176.29425184063408,164.3826246293563,SAI
5,208.7504855293773,207.23016592342077,SAI
6,266.81484094342846,265.5573084886128,SAI
7,286.1321148795239,285.21,SAI
8,192.63587485201464,173.4083968547277,SAI
9,127.58895932934908,126.35010962862142,SAI
10,128.00711912592325,130.16929667487506,GAS
11,191.80875558767565,184.5145634120635,SAI
12,224.4085954110984,216.068434961134,SAI
13,128.41977364318623,127.42228817192465,SAI
14,145.1874984594664,149.48179288421053,GAS
15,120.69772087279686,108.25806579445785,SAI
16,247.5340478422222,249.20706967373323,GAS
17,143.71981136172886,145.03325240979592,GAS
18,192.82112973480824,188.77962950755753,SAI
19,120.81442241966468,123.86013020521108,GAS
20,127.65145983290621,127.47589078615452,SAI
21,120.43731147691997,116.14966352357506,SAI
22,137.57532169604968,134.1997973582363,SAI
23,224.51920189086601,211.16774173097903,SAI
24,234.0008189000397,223.81886111843394,SAI
25,,255.01507440721224,GAS
