Minisector,PIA,ALO,Fastest
0,294.8250775026455,289.02212938235095,PIA
1,300.53209557909224,290.8344395920772,PIA
2,161.56704089489176,157.65576173800093,PIA
3,223.30760598152125,218.1230185432568,PIA
4,279.1006942532628,271.1975392955093,PIA
5,309.90722572284466,292.7202615365079,PIA
6,318.2020384866558,302.5125067970658,PIA
7,163.84423013398268,156.15676170088733,PIA
8,134.52900933754086,127.6613738446744,PIA
9,254.70982395705627,250.69149706995333,PIA
10,298.37084754294443,283.26641202796316,PIA
11,307.4201771228466,293.1729756363636,PIA
12,142.92263831283287,137.11279015607298,PIA
13,190.7451268718198,198.1716130887749,ALO
14,256.60525914164805,251.9017550245989,PIA
15,201.21151215901244,191.89144687058612,PIA
16,218.096707776,206.35882996063492,PIA
17,219.2154326010158,202.95765161328134,PIA
18,248.26233265198096,242.09126017443612,PIA
19,279.65342496925285,275.9092047825818,PIA
20,295.2196364362696,294.2700463288889,PIA
21,260.40965069485713,260.71407212444444,ALO
22,222.38201312137,202.63909375795475,PIA
23,205.0471583040747,198.011670059045,PIA
24,270.5443159563772,267.3415082996825,PIA
