Minisector,RIC,HUL,Fastest
0,272.5669043279438,274.6032697058655,HUL
1,296.98194474666667,298.1656743415873,HUL
2,310.6088891022222,309.72153857833274,RIC
3,319.9089286857143,316.6711906336508,RIC
4,325.8061111466667,321.4767856761905,RIC
5,329.6167411047619,324.7314387900656,RIC
6,212.99166978235587,186.21875171111114,RIC
7,108.5104027603513,108.97206795958847,HUL
8,188.23162218435323,197.71311361112765,HUL
9,263.5902782222222,265.008015493778,HUL
10,294.8178080916957,291.96694442666666,RIC
11,171.70877741450164,153.94990895553238,RIC
12,99.57673261815462,100.8422055380062,HUL
13,119.46135389694749,123.27285436907907,HUL
14,225.73733764031675,219.24543526167798,RIC
15,188.84616571733332,188.98002218576806,HUL
16,223.95322905333333,220.70892855873015,RIC
17,180.62996664615383,173.92611758854306,RIC
18,239.49259134814812,243.04610517156252,HUL
19,279.23124303680135,282.73958366666665,HUL
20,258.62996308994707,240.62293788164183,RIC
21,150.36470782918587,145.10245527142857,RIC
22,99.41486310060822,99.99514951079531,HUL
23,127.02819684304926,132.2126024271278,HUL
24,228.121678506912,231.18232341453634,HUL
