Minisector,ALO,OCO,Fastest
0,295.00223221801025,297.61865716826765,OCO
1,222.22636197460318,218.25578798323806,ALO
2,142.6244362385113,140.43081538126344,ALO
3,218.86934499047618,219.02986115555555,OCO
4,157.8132654507754,158.86648083663565,OCO
5,177.86451229425288,176.53110802870026,ALO
6,248.54972594154518,249.59297052154193,OCO
7,272.26228087017546,271.9634540249665,ALO
8,279.6414474105263,282.0975942334464,OCO
9,260.9544096351489,261.2375,OCO
10,245.3696431238095,238.62130896073603,ALO
11,239.0276055671334,239.93492623208402,OCO
12,206.2934429862018,204.19226230584718,ALO
13,138.57698078337472,135.10312259109125,ALO
14,143.88518462222223,143.95091308756574,OCO
15,176.1849187428652,173.21322911118853,ALO
16,253.23809574603175,251.78741431292516,ALO
17,239.49331476212976,240.78858689855073,OCO
18,112.1975570095238,113.3776456137489,OCO
19,196.40533949015537,193.51428567477956,ALO
20,193.65055226666666,191.6065353332831,ALO
21,232.66675033419767,225.68892339544516,ALO
22,261.5400895314286,260.72438346660323,ALO
23,277.5921054877193,277.9705191494191,OCO
24,289.47496705396173,289.96372549019605,OCO
25,292.62916693333335,293.9083328,OCO
