Minisector,LEC,VER,Fastest
0,304.8090248999619,306.55298881766737,VER
1,138.0252620121022,138.33384297088136,VER
2,213.0371762587199,211.78658119961884,LEC
3,278.05289656261874,278.28910823573375,VER
4,319.5583647129252,319.4338065556133,LEC
5,318.97989964083456,319.71778803393937,VER
6,147.37749670097335,146.3714510556469,LEC
7,243.29984345212625,241.11927570322115,LEC
8,114.89789075697031,114.090994832178,LEC
9,140.2938104309179,149.93150993113554,VER
10,273.3514478040381,272.5291382349206,LEC
11,300.06482128979593,298.201571544986,LEC
12,252.18025204370005,259.07756398617283,VER
13,159.79910896146924,150.38436599958885,LEC
14,271.0959420176281,269.7097575510348,LEC
15,308.7943583631078,307.66416719238094,LEC
16,327.3464079622161,322.6454231643241,LEC
17,337.6181855552532,334.89565239033817,LEC
18,348.0544197371429,344.00632953396826,LEC
19,349.65136271879703,349.2411989733359,LEC
20,211.3717360500022,249.42233693968254,VER
21,152.06412597270224,138.53242561145515,LEC
22,270.1147018899549,268.6132496162308,LEC
23,312.2321499830303,308.4432544304762,LEC
24,328.02972219555556,325.4097078024787,LEC
25,,324.82916693333334,VER
